time,x,y,z,value
0.005,-2.77778,2.77778,0,-8.54488e-07
0.005,-2.77778,3.88889,0,-1.30346e-08
0.005,-2.77778,5,0,-1.42822e-08
0.005,-1.66667,-5,0,-1.35357e-08
0.005,-1.66667,-3.88889,0,-nan(ind)
0.005,-1.66667,-2.77778,0,-2.28899e-08
0.005,-1.66667,-1.66667,0,-1.97795e-08
0.005,-1.66667,-0.555556,0,-1.11236e-05
0.005,-1.66667,0.555556,0,-2.53466e-08
0.005,-1.66667,1.66667,0,-7.96512e-07
0.005,-1.66667,2.77778,0,-4.99584e-08
0.005,-1.66667,3.88889,0,-1.23826e-08
0.005,-1.66667,5,0,-1.26081e-06
0.005,-0.555556,-5,0,-1.43245e-08
0.005,-0.555556,-3.88889,0,-3.81969e-07
0.005,-0.555556,-2.77778,0,-2.61348e-08
0.005,-0.555556,-1.66667,0,-3.70995e-08
0.005,-0.555556,-0.555556,0,-4.54376e-08
0.005,-0.555556,0.555556,0,-5.59699e-08
0.005,-0.555556,1.66667,0,-2.89746e-08
0.005,-0.555556,2.77778,0,-1.69313e-08
0.005,-0.555556,3.88889,0,-1.25732e-08
0.005,-0.555556,5,0,-9.79499e-09
0.005,0.555556,-5,0,-1.28101e-08
0.005,0.555556,-3.88889,0,-1.42086e-07
0.005,0.555556,-2.77778,0,-3.22858e-08
0.005,0.555556,-1.66667,0,-7.09852e-08
0.005,0.555556,-0.555556,0,-4.87934e-07
0.005,0.555556,0.555556,0,-4.6782e-07
0.005,0.555556,1.66667,0,-3.99191e-08
0.005,0.555556,2.77778,0,-1.76552e-08
0.005,0.555556,3.88889,0,-1.23965e-08
0.005,0.555556,5,0,-1.08203e-08
0.005,1.66667,-5,0,-9.33651e-09
0.005,1.66667,-3.88889,0,-2.04124e-08
0.005,1.66667,-2.77778,0,-1.71075e-08
0.005,1.66667,-1.66667,0,-4.49733e-08
0.005,1.66667,-0.555556,0,-2.62781e-08
0.005,1.66667,0.555556,0,-nan(ind)
0.005,1.66667,1.66667,0,-4.64465e-08
0.005,1.66667,2.77778,0,-1.03596e-06
0.005,1.66667,3.88889,0,-1.15554e-08
0.005,1.66667,5,0,-1.03584e-08
