time,x,y,z,value
0,-3.33333,3.33333,0,-1.80617e-13
0,-3.33333,3.75,0,-2.04402e-13
0,-3.33333,4.16667,0,-2.35617e-13
0,-3.33333,4.58333,0,-2.31715e-13
0,-3.33333,5,0,-8.20792e-14
0,-2.91667,-5,0,-9.03121e-14
0,-2.91667,-4.58333,0,-1.03347e-13
0,-2.91667,-4.16667,0,-1.23387e-13
0,-2.91667,-3.75,0,-1.56014e-13
0,-2.91667,-3.33333,0,-2.13411e-13
0,-2.91667,-2.91667,0,-3.14605e-13
0,-2.91667,-2.5,0,-4.00064e-13
0,-2.91667,-2.08333,0,-3.49088e-13
0,-2.91667,-1.66667,0,-2.8698e-13
0,-2.91667,-1.25,0,-2.49078e-13
0,-2.91667,-0.833333,0,-2.25166e-13
0,-2.91667,-0.416667,0,-2.08199e-13
0,-2.91667,0,0,-1.94692e-13
0,-2.91667,0.416667,0,-1.83063e-13
0,-2.91667,0.833333,0,-1.72766e-13
0,-2.91667,1.25,0,-1.63813e-13
0,-2.91667,1.66667,0,-1.56494e-13
0,-2.91667,2.08333,0,-1.51239e-13
0,-2.91667,2.5,0,-1.48608e-13
0,-2.91667,2.91667,0,-1.49435e-13
0,-2.91667,3.33333,0,-1.55145e-13
0,-2.91667,3.75,0,-1.68392e-13
0,-2.91667,4.16667,0,-1.93619e-13
0,-2.91667,4.58333,0,-2.29221e-13
0,-2.91667,5,0,-9.08041e-14
0,-2.5,-5,0,-9.56384e-14
0,-2.5,-4.58333,0,-1.11654e-13
0,-2.5,-4.16667,0,-1.37267e-13
0,-2.5,-3.75,0,-1.8158e-13
0,-2.5,-3.33333,0,-2.65092e-13
0,-2.5,-2.91667,0,-3.93878e-13
0,-2.5,-2.5,0,-3.99475e-13
0,-2.5,-2.08333,0,-3.2442e-13
0,-2.5,-1.66667,0,-2.76945e-13
0,-2.5,-1.25,0,-2.49416e-13
0,-2.5,-0.833333,0,-2.31219e-13
0,-2.5,-0.416667,0,-2.16918e-13
0,-2.5,0,0,-2.03901e-13
0,-2.5,0.416667,0,-1.91185e-13
0,-2.5,0.833333,0,-1.78777e-13
0,-2.5,1.25,0,-1.67181e-13
0,-2.5,1.66667,0,-1.57021e-13
0,-2.5,2.08333,0,-1.48854e-13
0,-2.5,2.5,0,-1.43161e-13
0,-2.5,2.91667,0,-1.40473e-13
0,-2.5,3.33333,0,-1.41613e-13
0,-2.5,3.75,0,-1.48124e-13
0,-2.5,4.16667,0,-1.63117e-13
0,-2.5,4.58333,0,-1.92008e-13
0,-2.5,5,0,-1.05069e-13
0,-2.08333,-5,0,-1.00705e-13
0,-2.08333,-4.58333,0,-1.19714e-13
0,-2.08333,-4.16667,0,-1.51263e-13
0,-2.08333,-3.75,0,-2.08965e-13
0,-2.08333,-3.33333,0,-3.22113e-13
0,-2.08333,-2.91667,0,-4.42973e-13
0,-2.08333,-2.5,0,-3.87568e-13
0,-2.08333,-2.08333,0,-3.21429e-13
0,-2.08333,-1.66667,0,-2.85794e-13
0,-2.08333,-1.25,0,-2.65588e-13
0,-2.08333,-0.833333,0,-2.51522e-13
0,-2.08333,-0.416667,0,-2.38686e-13
0,-2.08333,0,0,-2.24707e-13
0,-2.08333,0.416667,0,-2.09103e-13
0,-2.08333,0.833333,0,-1.92702e-13
0,-2.08333,1.25,0,-1.76841e-13
0,-2.08333,1.66667,0,-1.62698e-13
0,-2.08333,2.08333,0,-1.51022e-13
0,-2.08333,2.5,0,-1.42212e-13
0,-2.08333,2.91667,0,-1.36541e-13
0,-2.08333,3.33333,0,-1.34409e-13
0,-2.08333,3.75,0,-1.36667e-13
0,-2.08333,4.16667,0,-1.45185e-13
0,-2.08333,4.58333,0,-1.63994e-13
0,-2.08333,5,0,-1.2072e-13
0,-1.66667,-5,0,-1.05106e-13
0,-1.66667,-4.58333,0,-1.26768e-13
0,-1.66667,-4.16667,0,-1.6381e-13
0,-1.66667,-3.75,0,-2.346e-13
0,-1.66667,-3.33333,0,-3.74367e-13
0,-1.66667,-2.91667,0,-4.66928e-13
0,-1.66667,-2.5,0,-3.92131e-13
0,-1.66667,-2.08333,0,-3.37698e-13
0,-1.66667,-1.66667,0,-3.1172e-13
0,-1.66667,-1.25,0,-2.98605e-13
0,-1.66667,-0.833333,0,-2.89063e-13
0,-1.66667,-0.416667,0,-2.77392e-13
0,-1.66667,0,0,-2.60717e-13
0,-1.66667,0.416667,0,-2.39243e-13
0,-1.66667,0.833333,0,-2.15535e-13
0,-1.66667,1.25,0,-1.92643e-13
0,-1.66667,1.66667,0,-1.72644e-13
0,-1.66667,2.08333,0,-1.56416e-13
0,-1.66667,2.5,0,-1.4409e-13
0,-1.66667,2.91667,0,-1.35538e-13
0,-1.66667,3.33333,0,-1.30729e-13
0,-1.66667,3.75,0,-1.29994e-13
0,-1.66667,4.16667,0,-1.34409e-13
0,-1.66667,4.58333,0,-1.46594e-13
0,-1.66667,5,0,-1.32996e-13
0,-1.25,-5,0,-1.08431e-13
0,-1.25,-4.58333,0,-1.31992e-13
0,-1.25,-4.16667,0,-1.73026e-13
0,-1.25,-3.75,0,-2.5361e-13
0,-1.25,-3.33333,0,-4.12505e-13
0,-1.25,-2.91667,0,-4.90571e-13
0,-1.25,-2.5,0,-4.16453e-13
0,-1.25,-2.08333,0,-3.72558e-13
0,-1.25,-1.66667,0,-3.57269e-13
0,-1.25,-1.25,0,-3.54467e-13
0,-1.25,-0.833333,0,-3.52811e-13
0,-1.25,-0.416667,0,-3.43369e-13
0,-1.25,0,0,-3.21012e-13
0,-1.25,0.416667,0,-2.87421e-13
0,-1.25,0.833333,0,-2.49763e-13
0,-1.25,1.25,0,-2.14926e-13
0,-1.25,1.66667,0,-1.86197e-13
0,-1.25,2.08333,0,-1.64011e-13
0,-1.25,2.5,0,-1.4763e-13
0,-1.25,2.91667,0,-1.36168e-13
0,-1.25,3.33333,0,-1.29009e-13
0,-1.25,3.75,0,-1.25993e-13
0,-1.25,4.16667,0,-1.27632e-13
0,-1.25,4.58333,0,-1.35616e-13
0,-1.25,5,0,-1.40272e-13
0,-0.833333,-5,0,-1.10357e-13
0,-0.833333,-4.58333,0,-1.34711e-13
0,-0.833333,-4.16667,0,-1.77278e-13
0,-0.833333,-3.75,0,-2.61477e-13
0,-0.833333,-3.33333,0,-4.3068e-13
0,-0.833333,-2.91667,0,-5.25151e-13
0,-0.833333,-2.5,0,-4.60921e-13
0,-0.833333,-2.08333,0,-4.28184e-13
0,-0.833333,-1.66667,0,-4.29267e-13
0,-0.833333,-1.25,0,-4.46963e-13
0,-0.833333,-0.833333,0,-4.64205e-13
0,-0.833333,-0.416667,0,-4.62103e-13
0,-0.833333,0,0,-4.27176e-13
0,-0.833333,0.416667,0,-3.65516e-13
0,-0.833333,0.833333,0,-2.99134e-13
0,-0.833333,1.25,0,-2.43637e-13
0,-0.833333,1.66667,0,-2.02219e-13
0,-0.833333,2.08333,0,-1.72584e-13
0,-0.833333,2.5,0,-1.51748e-13
0,-0.833333,2.91667,0,-1.37439e-13
0,-0.833333,3.33333,0,-1.28232e-13
0,-0.833333,3.75,0,-1.23444e-13
0,-0.833333,4.16667,0,-1.23134e-13
0,-0.833333,4.58333,0,-1.28383e-13
0,-0.833333,5,0,-1.42558e-13
0,-0.416667,-5,0,-1.10726e-13
0,-0.416667,-4.58333,0,-1.34612e-13
0,-0.416667,-4.16667,0,-1.75845e-13
0,-0.416667,-3.75,0,-2.56134e-13
0,-0.416667,-3.33333,0,-4.2262e-13
0,-0.416667,-2.91667,0,-5.66404e-13
0,-0.416667,-2.5,0,-5.26001e-13
0,-0.416667,-2.08333,0,-5.07643e-13
0,-0.416667,-1.66667,0,-5.3852e-13
0,-0.416667,-1.25,0,-6.06038e-13
0,-0.416667,-0.833333,0,-6.81022e-13
0,-0.416667,-0.416667,0,-7.08113e-13
0,-0.416667,0,0,-6.37996e-13
0,-0.416667,0.416667,0,-4.96946e-13
0,-0.416667,0.833333,0,-3.66563e-13
0,-0.416667,1.25,0,-2.76463e-13
0,-0.416667,1.66667,0,-2.18284e-13
0,-0.416667,2.08333,0,-1.80416e-13
0,-0.416667,2.5,0,-1.55272e-13
0,-0.416667,2.91667,0,-1.38487e-13
0,-0.416667,3.33333,0,-1.27654e-13
0,-0.416667,3.75,0,-1.21568e-13
0,-0.416667,4.16667,0,-1.19924e-13
0,-0.416667,4.58333,0,-1.2339e-13
0,-0.416667,5,0,-1.40494e-13
0,0,-5,0,-1.09589e-13
0,0,-4.58333,0,-1.31853e-13
0,0,-4.16667,0,-1.69254e-13
0,0,-3.75,0,-2.39258e-13
0,0,-3.33333,0,-3.84813e-13
0,0,-2.91667,0,-5.86918e-13
0,0,-2.5,0,-6.08029e-13
0,0,-2.08333,0,-6.09388e-13
0,0,-1.66667,0,-6.89923e-13
0,0,-1.25,0,-8.89885e-13
0,0,-0.833333,0,-1.22496e-12
0,0,-0.416667,0,-1.40919e-12
0,0,0,0,-1.16134e-12
0,0,0.416667,0,-7.16451e-13
0,0,0.833333,0,-4.44166e-13
0,0,1.25,0,-3.05683e-13
0,0,1.66667,0,-2.30176e-13
0,0,2.08333,0,-1.8533e-13
0,0,2.5,0,-1.57006e-13
0,0,2.91667,0,-1.3857e-13
0,0,3.33333,0,-1.26724e-13
0,0,3.75,0,-1.19853e-13
0,0,4.16667,0,-1.17401e-13
0,0,4.58333,0,-1.19778e-13
0,0,5,0,-1.35014e-13
0,0.416667,-5,0,-1.07187e-13
0,0.416667,-4.58333,0,-1.26998e-13
0,0.416667,-4.16667,0,-1.59024e-13
0,0.416667,-3.75,0,-2.15519e-13
0,0.416667,-3.33333,0,-3.27002e-13
0,0.416667,-2.91667,0,-5.3518e-13
0,0.416667,-2.5,0,-6.80286e-13
0,0.416667,-2.08333,0,-7.18181e-13
0,0.416667,-1.66667,0,-8.42933e-13
0,0.416667,-1.25,0,-1.23881e-12
0,0.416667,-0.833333,0,-3.30569e-12
0,0.416667,-0.416667,0,-7.39116e-12
0,0.416667,0,0,-2.89277e-12
0,0.416667,0.416667,0,-9.57247e-13
0,0.416667,0.833333,0,-4.9243e-13
0,0.416667,1.25,0,-3.17579e-13
0,0.416667,1.66667,0,-2.32963e-13
0,0.416667,2.08333,0,-1.85336e-13
0,0.416667,2.5,0,-1.56025e-13
0,0.416667,2.91667,0,-1.37175e-13
0,0.416667,3.33333,0,-1.25087e-13
0,0.416667,3.75,0,-1.17986e-13
0,0.416667,4.16667,0,-1.15214e-13
0,0.416667,4.58333,0,-1.17059e-13
0,0.416667,5,0,-1.27178e-13
